genero,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
classical,0.956,0.382,0.2730503165653597,0.349,0.769,0.0657,0.6142958401630267,0.063,0.5497812566509802,0.0951
classical,0.53,0.527,0.14818135443268554,0.363,0.872,0.9229999999999999,0.7032959730651663,0.0271,0.5997020360867406,0.15
classical,0.973,0.365,0.1833380288980728,0.22899999999999998,0.888,0.21600000000000005,0.6120143534310903,0.0397,0.6239979189821931,0.27899999999999997
classical,0.44299999999999995,0.0856,0.12155414368111993,0.0613,0.682,0.0902,0.4584902316927303,0.0448,0.3525480644169603,0.0314
classical,0.667,0.177,0.0946475698773134,0.0202,0.795,0.14800000000000002,0.25479555220839056,0.0449,0.3193227232955755,0.0879
classical,0.794,0.184,0.06598183863563352,0.0216,0.88,0.0839,0.15048952288131848,0.0448,0.3351857544871947,0.0361
classical,0.956,0.252,0.09382607654547633,0.0516,0.9279999999999999,0.102,0.4980064679041333,0.0313,0.3776905431929434,0.0299
classical,0.995,0.479,0.11101184349188802,0.0312,0.912,0.0812,0.3761795064900545,0.0658,0.34363752453472696,0.28800000000000003
classical,0.995,0.44,0.11126473225204947,0.00506,0.9329999999999999,0.0643,0.1925308997474861,0.0528,0.3319601768865136,0.115
classical,0.983,0.138,0.0975771281083091,0.0121,0.833,0.12,0.4002347937801799,0.0442,0.44978362144394257,0.0661
classical,0.992,0.273,0.04013976845663175,0.114,0.9359999999999999,0.163,0.4662207061533691,0.036000000000000004,0.4100409109182491,0.0387
classical,0.9740000000000001,0.247,0.2368607495701879,0.0603,0.000981,0.0953,0.5139104239578257,0.0566,0.3645943197673045,0.0399
classical,0.992,0.28,0.07926916728868083,0.0058,0.795,0.0613,0.15660302130864304,0.0493,0.359122188852366,0.0395
classical,0.978,0.124,0.10772428960978868,0.0179,0.639,0.114,0.25546006290701284,0.0404,0.4553266961477523,0.040999999999999995
classical,0.64,0.45,0.046666274162236836,0.45399999999999996,0.816,0.275,0.7164311345412662,0.0585,0.7290278336131671,0.379
classical,0.826,0.134,0.0790953062660698,0.474,0.58,0.195,0.6631816772250033,0.0518,0.4675384870054627,0.133
classical,0.9640000000000001,0.309,0.22769353201433404,0.22399999999999998,0.866,0.335,0.5056261905816684,0.0422,0.513680327287346,0.452
classical,0.902,0.0785,0.1786240243531876,0.196,0.9570000000000001,0.0664,0.5266911797279936,0.0416,0.38399981081656304,0.032
classical,0.665,0.33899999999999997,0.3558978598103255,0.23600000000000002,0.82,0.055999999999999994,0.5479776724405263,0.0402,0.32537659327925844,0.27899999999999997
classical,0.986,0.228,0.07642416873686411,0.179,0.9540000000000001,0.0575,0.6219155628405617,0.0382,0.4933147302953626,0.0378
classical,0.978,0.161,0.0746855585107539,0.261,0.902,0.134,0.6622292118903115,0.0376,0.3324047579634403,0.0477
classical,0.9390000000000001,0.545,0.12191767127385204,0.0148,0.439,0.0998,0.5209320870066008,0.0945,0.6413744176697329,0.22399999999999998
classical,0.9159999999999999,0.377,0.10177350097223874,0.10800000000000001,0.981,0.17,0.4498958933238826,0.0332,0.5608153806134273,0.254
classical,0.95,0.35,0.12879308444074244,0.133,0.292,0.0522,0.6000974615691314,0.0488,0.5745028022796604,0.31
classical,0.8859999999999999,0.32899999999999996,0.17520330873331574,0.0793,0.696,0.045,0.5671598812740886,0.0418,0.4785016671790385,0.159
classical,0.904,0.188,0.11181278961196196,0.043,8.44e-06,0.11,0.37416382403756704,0.0352,0.4030080166481424,0.157
classical,0.9840000000000001,0.22699999999999998,0.11271370582003724,0.00106,0.95,0.0961,0.07081469011651094,0.0446,0.3536737058670513,0.0357
classical,0.41100000000000003,0.087,0.09680265628031456,0.309,0.6970000000000001,0.10099999999999999,0.7401098657688391,0.0337,0.7901766500342895,0.0398
classical,0.9259999999999999,0.0665,0.12111158835083732,0.0495,0.762,0.0934,0.3456563150666726,0.0455,0.3128242722349658,0.0365
classical,0.8270000000000001,0.278,0.1844969706692504,0.205,0.29,0.0648,0.5293713728791034,0.0521,0.37829593019131175,0.0812
classical,0.995,0.522,0.09239290852499864,0.0035600000000000002,0.9209999999999999,0.0763,0.08437070836840484,0.32,0.6325679286778443,0.22899999999999998
classical,0.977,0.4370000000000001,0.093430937857724,0.12300000000000001,0.884,0.0919,0.648208036149382,0.0348,0.4777402038451533,0.048
classical,0.995,0.36200000000000004,0.2291583111298319,0.034,0.9229999999999999,0.0732,0.23906879900766398,0.0441,0.3417031238915033,0.23600000000000002
classical,0.486,0.305,0.02584088476293852,0.29,0.000328,0.106,0.6413192752403314,0.0445,0.6399602714782321,0.20600000000000002
classical,0.8420000000000001,0.42100000000000004,0.025935322909311324,0.11699999999999999,0.948,0.11599999999999999,0.5781464581579764,0.04,0.4924019202118855,0.18100000000000002
classical,0.96,0.5489999999999999,0.047415457114215236,0.218,0.643,0.131,0.4813493997253356,0.0374,0.4796462269728286,0.8859999999999999
classical,0.992,0.32299999999999995,0.0967342972873334,0.0025800000000000003,0.8,0.0828,0.14955920790324728,0.0376,0.31840518362617354,0.0353
classical,0.925,0.24100000000000002,0.08152382864099555,0.122,0.66,0.126,0.473862579187525,0.0497,0.3136897864591955,0.187
classical,0.9540000000000001,0.34700000000000003,0.05828532727559382,0.0383,0.635,0.0792,0.2271297567890844,0.06,0.5312838460992739,0.149
classical,0.5379999999999999,0.16699999999999998,0.08519624760496562,0.188,0.925,0.16699999999999998,0.5117618393656138,0.0396,0.5311135810059829,0.0395
classical,0.8759999999999999,0.263,0.08323082777208557,0.27,0.865,0.0562,0.5970407123554691,0.0348,0.6105658949558966,0.228
classical,0.9259999999999999,0.304,0.16097317917129145,0.0898,0.7090000000000001,0.105,0.4558764896114826,0.0518,0.7034407737602573,0.157
classical,0.9890000000000001,0.198,0.1054692331187862,0.0138,0.9309999999999999,0.131,0.2899260178088868,0.039,0.3278312483742048,0.0399
classical,0.9940000000000001,0.341,0.058853536708581664,0.0296,0.9009999999999999,0.11199999999999999,0.3827138616931733,0.0402,0.3118783550500153,0.18
classical,0.8420000000000001,0.0826,0.0642590339570334,0.141,0.809,0.1,0.4802197315376778,0.0443,0.8105848132995956,0.035
classical,0.897,0.16399999999999998,0.10023759689294548,0.0313,0.9440000000000001,0.0984,0.343396978691357,0.0371,0.5203868801286448,0.0356
classical,0.9540000000000001,0.092,0.1878216675879984,0.114,0.541,0.122,0.5014176228237275,0.0442,0.4002743159836357,0.0407
classical,0.892,0.122,0.2814853421328085,0.0528,0.912,0.26899999999999996,0.45005094582022775,0.0381,0.4011398302078653,0.0327
classical,0.995,0.213,0.1509208509548724,0.0143,0.887,0.0639,0.2969255305010411,0.0386,0.3935062785253152,0.133
classical,0.9890000000000001,0.231,0.060734396862282714,0.0387,2.48e-05,0.19899999999999998,0.4223630000443007,0.0482,0.4716532267599972,0.0962
classical,0.882,0.1,0.13298155453091706,0.11199999999999999,0.691,0.0902,0.5059584459309795,0.0488,0.8417906212311113,0.0377
classical,0.9570000000000001,0.177,0.050276261213542034,0.0188,0.446,0.635,0.31719310680901963,0.0367,0.6927519095703172,0.0819
classical,0.9470000000000001,0.605,0.07845241562109677,0.0206,0.76,0.0832,0.31072520267576315,0.0311,0.686012249627545,0.0592
classical,0.743,0.389,0.0721669445150206,0.526,0.899,0.114,0.6968723696451513,0.0476,0.501596235249604,0.0772
classical,0.996,0.287,0.1562006941006189,0.0685,0.909,0.218,0.44504496522394016,0.0425,0.30721025374228483,0.174
classical,0.9670000000000001,0.369,0.15836012702918534,0.24600000000000002,0.7929999999999999,0.111,0.5891108846852435,0.0497,0.5411403031664578,0.239
classical,0.983,0.121,0.10720073084851686,0.0791,0.9229999999999999,0.113,0.4990253843086874,0.0428,0.7947454300376002,0.038
classical,0.88,0.27699999999999997,0.09149712911986413,0.024,0.825,0.584,0.3203827581624065,0.0365,0.6095537635679996,0.0653
